vihaan@Vihaans-MacBook-Pro validation % source .venv/bin/activate
(.venv) vihaan@Vihaans-MacBook-Pro validation % python run_all.py --model cohere

=== backend: cohere — screening + extraction in parallel ===
[run_all] start: /Users/vihaan/ReviewAid_Validation_v3.0.0/validation/.venv/bin/python 02_run_screening.py --model cohere
[run_all] start: /Users/vihaan/ReviewAid_Validation_v3.0.0/validation/.venv/bin/python 03_run_extraction.py --model cohere
[corpus] 1968 papers with PDF + criteria (731 included)
[cohere] keys:
  ...knbX: 11/1000 calls, exhausted=False
  ...Q2To: 13/1000 calls, exhausted=False
  ...NtX6: 10/1000 calls, exhausted=False
  ...sJ8t: 10/1000 calls, exhausted=False
  ...IxtD: 9/1000 calls, exhausted=False
  ...jnq5: 14/1000 calls, exhausted=False
  ...OlCf: 8/1000 calls, exhausted=False
[extraction] 2184 articles ready
[cohere] 2184 to extract (Cohere / command-a-03-2025)
[cohere] keys:
  ...knbX: 11/1000 calls, exhausted=False
  ...Q2To: 13/1000 calls, exhausted=False
  ...NtX6: 10/1000 calls, exhausted=False
  ...sJ8t: 10/1000 calls, exhausted=False
  ...IxtD: 9/1000 calls, exhausted=False
  ...jnq5: 14/1000 calls, exhausted=False
  ...OlCf: 8/1000 calls, exhausted=False
[cohere] CD000031-bib-0009: include conf=0.33 tier=tier1_override OVERRIDE (4.64s)
[cohere] CD000031-bib-0003: include conf=0.33 tier=tier1_override OVERRIDE (5.25s)
[cohere] 1/2184 PMC1175929: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (5.21s)
[cohere] CD000031-bib-0010: include conf=0.33 tier=tier1_override OVERRIDE (5.56s)
[cohere] 2/2184 PMC111193: conf=0.48 tier=tier1_override ungrounded_fields=0 (6.39s)
[cohere] 3/2184 PMC1185549: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.5s)
[cohere] CD000031-bib-0011: include conf=0.33 tier=tier1_override OVERRIDE (5.15s)
[cohere] CD000031-bib-0017: include conf=0.33 tier=tier1_override OVERRIDE (5.39s)
[cohere] CD000031-bib-0012: include conf=0.25 tier=tier1_override OVERRIDE (6.39s)
[cohere] 4/2184 PMC1187893: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.81s)
[cohere] 5/2184 PMC1198254: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.7s)
[cohere] CD000031-bib-0021: include conf=0.33 tier=tier1_override OVERRIDE (5.0s)
[cohere] 6/2184 PMC1201146: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (9.59s)
[cohere] 7/2184 PMC1261533: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.73s)
[cohere] 8/2184 PMC125315: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.18s)
[cohere] CD000031-bib-0022: include conf=0.42 tier=tier1_override OVERRIDE (6.86s)
[cohere] CD000031-bib-0030: include conf=0.33 tier=tier1_override OVERRIDE (5.59s)
[cohere] 9/2184 PMC1332199: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (5.09s)
[cohere] 10/2184 PMC1468428: conf=0.3 tier=tier1_override ungrounded_fields=0 (4.03s)
[cohere] 11/2184 PMC1414018: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.5s)
[cohere] CD000031-bib-0033: include conf=0.25 tier=tier1_override OVERRIDE (5.56s)
[cohere] CD000031-bib-0025: include conf=0.33 tier=tier1_override OVERRIDE (13.93s)
[cohere] CD000031-bib-0041: include conf=0.33 tier=tier1_override OVERRIDE (5.2s)
[cohere] 12/2184 PMC1475428: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.43s)
[cohere] 13/2184 PMC1488892: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.27s)
[cohere] 14/2184 PMC1475568: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (7.02s)
[cohere] CD000031-bib-0042: include conf=0.33 tier=tier1_override OVERRIDE (5.48s)
[cohere] CD000031-bib-0045: include conf=0.33 tier=tier1_override OVERRIDE (3.94s)
[cohere] CD000031-bib-0044: include conf=0.33 tier=tier1_override OVERRIDE (5.04s)
[cohere] 15/2184 PMC1550608: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.03s)
[cohere] 16/2184 PMC1562433: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.13s)
[cohere] 17/2184 PMC1489930: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (7.02s)
[cohere] CD000031-bib-0046: include conf=0.33 tier=tier1_override OVERRIDE (4.25s)
[cohere] CD000031-bib-0050: include conf=0.33 tier=tier1_override OVERRIDE (4.92s)
[cohere] CD000031-bib-0059: include conf=0.33 tier=tier1_override OVERRIDE (5.3s)
[cohere] 18/2184 PMC1618957: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.47s)
[cohere] 19/2184 PMC165418: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.18s)
[cohere] CD000031-bib-0060: include conf=0.33 tier=tier1_override OVERRIDE (5.7s)
[cohere] 20/2184 PMC1713239: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.19s)
[cohere] CD000031-bib-0062: include conf=0.33 tier=tier1_override OVERRIDE (28.72s)
[cohere] 21/2184 PMC1716162: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (28.88s)
[cohere] 22/2184 PMC1764008: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (29.68s)
[cohere] CD000031-bib-0063: include conf=0.33 tier=tier1_override OVERRIDE (28.91s)
[cohere] 23/2184 PMC1781578: conf=0.48 tier=tier1_override ungrounded_fields=0 (3.13s)
[cohere] CD000031-bib-0061: include conf=0.33 tier=tier1_override OVERRIDE (35.3s)
[cohere] 24/2184 PMC1774569: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (30.92s)
[cohere] 25/2184 PMC1784771: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (3.24s)
[cohere] CD000031-bib-0064: include conf=0.33 tier=tier1_override OVERRIDE (6.82s)
[cohere] 26/2184 PMC1831486: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.51s)
[cohere] CD000031-bib-0068: include conf=0.33 tier=tier1_override OVERRIDE (5.62s)
[cohere] CD000031-bib-0069: include conf=0.33 tier=tier1_override OVERRIDE (4.36s)
[cohere] CD000031-bib-0067: include conf=0.42 tier=tier1_override OVERRIDE (8.66s)
[cohere] 27/2184 PMC1796543: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (8.45s)
[cohere] 28/2184 PMC1839864: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (3.66s)
[cohere] 29/2184 PMC1831737: conf=0.48 tier=tier1_override ungrounded_fields=0 (9.07s)
[cohere] CD000031-bib-0071: exclude conf=0.33 tier=tier1_override OVERRIDE (4.32s)
[cohere] 30/2184 PMC1852268: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (4.46s)
[cohere] CD000031-bib-0076: include conf=0.33 tier=tier1_override OVERRIDE (5.7s)
[cohere] CD000031-bib-0075: include conf=0.33 tier=tier1_override OVERRIDE (7.04s)
[cohere] 31/2184 PMC1852293: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=1 (4.37s)
[cohere] CD000031-bib-0082: include conf=0.33 tier=tier1_override OVERRIDE (4.92s)
[cohere] 32/2184 PMC1859980: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.28s)
[cohere] 33/2184 PMC1868022: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.53s)
[cohere] CD000031-bib-0083: include conf=0.33 tier=tier1_override OVERRIDE (4.89s)
[cohere] CD000031-bib-0090: exclude conf=0.33 tier=tier1_override OVERRIDE (4.53s)
[cohere] 34/2184 PMC1868720: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.5s)
[cohere] CD000031-bib-0091: exclude conf=0.33 tier=tier1_override OVERRIDE (5.43s)
[cohere] CD000031-bib-0092: include conf=0.33 tier=tier1_override OVERRIDE (3.89s)
[cohere] 35/2184 PMC1876597: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (4.85s)
[cohere] 36/2184 PMC1871574: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.37s)
[cohere] CD000031-bib-0093: include conf=0.33 tier=tier1_override OVERRIDE (6.77s)
[cohere] 37/2184 PMC1896161: conf=0.48 tier=tier1_override ungrounded_fields=1 (5.82s)
[cohere] CD000031-bib-0095: include conf=0.33 tier=tier1_override OVERRIDE (5.84s)
[cohere] CD000031-bib-0097: include conf=0.33 tier=tier1_override OVERRIDE (5.19s)
[cohere] 38/2184 PMC1913177: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.57s)
[cohere] 39/2184 PMC1905915: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.77s)
[cohere] CD000031-bib-0099: include conf=0.33 tier=tier1_override OVERRIDE (4.25s)
[cohere] CD000031-bib-0100: include conf=0.33 tier=tier1_override OVERRIDE (4.99s)
[cohere] 40/2184 PMC1924504: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (6.2s)
[cohere] 41/2184 PMC1913602: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (29.71s)
[cohere] CD000031-bib-0098: include conf=0.42 tier=tier1_override OVERRIDE (30.36s)
[cohere] CD000031-bib-0112: include conf=0.33 tier=tier1_override OVERRIDE (3.64s)
[cohere] 42/2184 PMC1964758: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (31.31s)
[cohere] 43/2184 PMC1971065: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.2s)
[cohere] CD000031-bib-0106: include conf=0.33 tier=tier1_override OVERRIDE (28.21s)
[cohere] CD000031-bib-0105: include conf=0.33 tier=tier1_override OVERRIDE (29.34s)
[cohere] 44/2184 PMC1968469: conf=0.48 tier=tier1_override ungrounded_fields=1 (28.07s)
[cohere] 45/2184 PMC2047288: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.79s)
[cohere] CD000031-bib-0119: include conf=0.33 tier=tier1_override OVERRIDE (6.43s)
[cohere] 46/2184 PMC2001223: conf=0.95 tier=tier2_llm_selfassess ungrounded_fields=0 (6.89s)
[cohere] 47/2184 PMC2074536: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (4.65s)
[cohere] CD000031-bib-0136: include conf=0.33 tier=tier1_override OVERRIDE (6.99s)
[cohere] CD000031-bib-0131: include conf=0.42 tier=tier1_override OVERRIDE (7.43s)
[cohere] 48/2184 PMC2129145: conf=0.48 tier=tier1_override ungrounded_fields=0 (5.99s)
[cohere] CD000031-bib-0141: exclude conf=0.33 tier=tier1_override OVERRIDE (6.11s)
[cohere] CD000031-bib-0149: include conf=0.33 tier=tier1_override OVERRIDE (4.72s)
[cohere] 49/2184 PMC2194675: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (5.66s)
[cohere] 50/2184 PMC2147023: conf=0.9 tier=tier2_llm_selfassess ungrounded_fields=0 (7.48s)
[cohere] CD000031-bib-0147: include conf=0.33 tier=tier1_override OVERRIDE (7.18s)
